id,Invest,FF,lnSize,Tan,CF,GOA,Circle,Grows,time
1,0.117298549,0.479926825,7.362373256,0.013740837,-4059419.74,9.4577,143.4928,-117.0433,20141231
1,0.207414472,0.315465423,8.189254558,0.005797671,17004268.11,560.1679,175.8892,51.9533,20150630
1,0.291529997,0.202924567,8.107383052,0.00632342,-1178782.74,461.4959,67.7311,-879.8043,20151231
1,0.007318285,0.080594906,8.103916498,0.005952406,-7447039.23,-17.8397,233.5012,-232.4697,20160630
2,0.022662286,0.287868682,7.71593437,0.038424577,-2434575.19,192.3058,110.5475,222.5462,20141231
2,0.010586627,0.538989674,7.693778554,0.037598382,6319574.19,0.0001,0.0002,0.0001,20150630
2,0.048135644,0.433455927,8.047873602,0.031625975,-5269074.71,114.7529,157.5361,-2.2829,20151231
2,0.005322034,0.385014227,8.084114267,0.026983707,-12376007.57,145.6607,218.8736,53.1501,20160630
3,-0.009074135,0.088688761,7.350439444,0.027149399,-4785388.36,48.8081,107.0921,256.0746,20141231
3,0.000332879,0.149500896,7.409526155,0.017992231,-8379145.3,38.7892,190.9921,1566.3177,20150630
3,0.000889408,0.135912869,7.368824147,0.013909923,809802.53,4.3241,106.5823,66.1559,20151231
3,-1.54E-05,0.551897855,7.263984479,0.011624656,-6820928.19,-28.4749,807.5498,-332.084,20160630
4,0.15821771,0.189765201,7.005638059,0.195379116,4399455.28,-27.2601,1.8588,-266.93,20141231
4,0,0.293547426,7.146809036,0.124509623,2193665.09,-13.1763,46.3605,123.245,20150630
4,0,0.459539619,7.276462505,0.08002207,862864.68,86.5625,13.3821,971.6889,20151231
4,0.014180065,0.437986195,7.23610803,0.089153456,-897667.15,22.8284,128.5037,-277.1841,20160630
5,0.150612178,0.482950114,7.616325424,0.205399554,5378824.66,18.1525,106.7331,-27.4936,20141231
5,0.110667738,0.753891329,8.118061946,0.059581058,4369986.92,250.051,289.6573,981.1768,20150630
5,0.377372398,0.586546285,8.167861764,0.171447171,3692072.2,256.0707,165.3294,-17.5085,20151231
5,0.004133967,0.576237133,8.195698752,0.142344772,-22589715.5,19.574,316.6599,24.7541,20160630
6,0.159005096,0.47280513,8.187590858,0.155815856,14061886.35,49.6551,14.3185,-4.5335,20141231
6,0.001424859,0.673605406,8.214359048,0.14204426,22130981.57,24.1978,3.4864,246.204,20150630
6,0.019641458,0.727914121,8.397457599,0.091342655,60206211.55,51.9467,12.1018,10.0096,20151231
6,0.01204551,0.720121594,8.398823095,0.090685591,7170765.11,52.9199,6.765,-18.1211,20160630
7,0.002068529,0.293131624,6.870446779,0.577378989,514411.34,4.4423,88.325,-126.1673,20141231
7,0.002305855,0.660353384,7.253958567,0.212812843,-249590.35,0.0001,0.0002,0.0001,20150630
7,0.309940898,0.291791094,7.207629659,0.233193967,-2669069.66,117.3616,229.9622,-3685.0821,20151231
7,0.143895565,0.054190582,7.132812135,0.237769189,-870824.62,-24.3422,3107.465,-159.1173,20160630
8,0.220337308,0.246629631,7.463187015,0.043690706,2160824.86,89.6514,162.6837,-88.8761,20141231
8,0.035738324,0.633440684,7.734518372,0.019116235,-3252386.33,0.0001,0.0002,0.0001,20150630
8,0.061732822,0.332212901,7.77223751,0.020575406,-6460719.84,103.7278,224.7598,452.2697,20151231
8,0.013424601,0.526334409,7.772774401,0.017437545,7880392.51,9.2083,256.8774,11.5796,20160630
9,0.028621097,0.448007668,7.965045902,0.035218344,23360208.85,70.1794,84.8375,148.8254,20141231
9,0.001118336,0.324446024,8.053801459,0.026265701,-2024702.24,0.0001,0.0002,0.0001,20150630
9,0.001337697,0.264195119,8.322928344,0.011739286,24742790.85,127.9724,128.6991,46.9637,20151231
9,0.006556929,0.843585093,8.664967306,0.007792828,30990342.83,308.4753,259.4421,45.2269,20160630
10,0.001612499,0.584034293,6.871790407,0.006319728,-414364.12,259.5525,32.6179,-99.4331,20141231
10,0.041180873,0.744714509,7.68018625,0.020655363,-5315316.07,0.0001,0.0002,0.0001,20150630
10,0.018236596,0.440643817,7.779183867,0.071137527,-22534717.78,707.9666,25.384,-204576.5726,20151231
10,0.06110151,0.437532804,7.676176274,0.084329535,-4270242,-0.919,51.3555,101.2444,20160630
11,0.002637593,0.197857752,7.566476401,0.021037611,3984241.41,24.6176,128.5652,-69.0104,20141231
11,0.002278574,0.122042473,7.619989718,0.018565517,-2109270.25,88.6621,221.1342,7041.1997,20150630
11,0.001932978,0.271029612,7.865326455,0.009453588,7726698.82,98.9986,102.154,644.8172,20151231
11,0.000900599,0.119862185,7.853564989,0.009077714,-7406832.16,71.2281,247.8709,-48.2184,20160630
12,0.01542012,0.976045651,7.861566433,0.015648469,7410134.95,-51.0287,0.0183,-51.455,20141231
12,0,0.948039135,7.95261251,0.012034036,1714934.05,-46.5315,69.0237,-93.7709,20150630
12,0.009435327,0.92727407,7.921795707,0.011847781,-1208009.22,14.8759,6.0859,-75.6895,20151231
12,0.004814764,0.711980538,7.944011705,0.01229158,-4437242.07,-1.9609,14.1242,-3.9987,20160630
